		V;NFIN
arnieu	earner	V.PTCP;PST;MASC;SG
arnieus	earner	V.PTCP;PST;MASC;PL
arnànd	earner	V.PTCP;PRS
arsalan	ursalar	V;SBJV;PRS;3;PL
arschagn	earscher	V;IND;PRS;1;PL
arschagn	rescher	V;IND;PRS;1;PL
arschagn	riescher	V;IND;PRS;1;PL
arsched	earscher	V;IMP;2;PL
arsched	rescher	V;IMP;2;PL
arsched	riescher	V;IMP;2;PL
arscheian	earscher	V;SBJV;PRS;1;PL
arscheian	rescher	V;SBJV;PRS;1;PL
arscheian	riescher	V;SBJV;PRS;1;PL
arscheias	earscher	V;SBJV;PRS;2;PL
arscheias	rescher	V;SBJV;PRS;2;PL
arscheias	riescher	V;SBJV;PRS;2;PL
arschess	earscher	V;COND;1;SG
arschess	rescher	V;COND;1;SG
arschess	riescher	V;COND;3;SG
arschessan	earscher	V;COND;1;PL
arschessan	rescher	V;COND;1;PL
arschessan	riescher	V;COND;3;PL
arschessas	earscher	V;COND;2;PL
arschessas	rescher	V;COND;2;PL
arschessas	riescher	V;COND;2;PL
arscheva	earscher	V;IND;PST;3;SG;IPFV
arscheva	rescher	V;IND;PST;1;SG;IPFV
arscheva	riescher	V;IND;PST;1;SG;IPFV
arschevan	earscher	V;IND;PST;1;PL;IPFV
arschevan	rescher	V;IND;PST;1;PL;IPFV
arschevan	riescher	V;IND;PST;1;PL;IPFV
arschevas	earscher	V;IND;PST;2;PL;IPFV
arschevas	rescher	V;IND;PST;2;SG;IPFV
arschevas	riescher	V;IND;PST;2;SG;IPFV
arschez	earscher	V;IND;PRS;2;PL
arschez	rescher	V;IND;PRS;2;PL
arschez	riescher	V;IND;PRS;2;PL
arschida	earscher	V.PTCP;PST;FEM;SG
arschida	rescher	V.PTCP;PST;FEM;SG
arschida	riescher	V.PTCP;PST;FEM;SG
arschidas	earscher	V.PTCP;PST;FEM;PL
arschidas	rescher	V.PTCP;PST;FEM;PL
arschidas	riescher	V.PTCP;PST;FEM;PL
arschieu	earscher	V.PTCP;PST;MASC;SG
arschieu	rescher	V.PTCP;PST;MASC;SG
arschieu	riescher	V.PTCP;PST;MASC;SG
arschieus	earscher	V.PTCP;PST;MASC;PL
arschieus	rescher	V.PTCP;PST;MASC;PL
arschieus	riescher	V.PTCP;PST;MASC;PL
arschànd	earscher	V.PTCP;PRS
arschànd	rescher	V.PTCP;PRS
arschànd	riescher	V.PTCP;PRS
arsol	ursalar	V;IND;PRS;1;SG
arsola	ursalar	V;IMP;2;SG
arsolan	ursalar	V;IND;PRS;3;PL
arsolas	ursalar	V;SBJV;PRS;2;SG
arsolel	ursalar	V;IND;PRS;1;SG
arsoli	ursalar	V;SBJV;PRS;1;SG
arsolian	ursalar	V;SBJV;PRS;3;PL
arsolias	ursalar	V;SBJV;PRS;2;SG
artagn	rer	V;IND;PRS;1;PL
arted	rer	V;IMP;2;PL
arteian	rer	V;SBJV;PRS;1;PL
arteias	rer	V;SBJV;PRS;2;PL
artess	rer	V;COND;1;SG
artessan	rer	V;COND;3;PL
artessas	rer	V;COND;2;PL
arteva	rer	V;IND;PST;1;SG;IPFV
artevan	rer	V;IND;PST;1;PL;IPFV
artevas	rer	V;IND;PST;2;PL;IPFV
artez	rer	V;IND;PRS;2;PL
artida	rer	V.PTCP;PST;FEM;SG
artidas	rer	V.PTCP;PST;FEM;PL
artieu	rer	V.PTCP;PST;MASC;SG
artieus	rer	V.PTCP;PST;MASC;PL
artànd	rer	V.PTCP;PRS
arvagn	]	V;IND;PRS;1;PL
arvagn	duvrir	V;IND;PRS;1;PL
arvagn	earver	V;IND;PRS;1;PL
arved	]	V;IMP;2;PL
arved	duvrir	V;IMP;2;PL
arved	earver	V;IMP;2;PL
arveian	]	V;SBJV;PRS;1;PL
arveian	duvrir	V;SBJV;PRS;1;PL
arveian	earver	V;SBJV;PRS;1;PL
arveias	]	V;SBJV;PRS;2;PL
arveias	duvrir	V;SBJV;PRS;2;PL
arveias	earver	V;SBJV;PRS;2;PL
arvess	]	V;COND;1;SG
arvess	duvrir	V;COND;1;SG
arvess	earver	V;COND;1;SG
arvessan	]	V;COND;1;PL
arvessan	duvrir	V;COND;3;PL
arvessan	earver	V;COND;1;PL
arvessas	]	V;COND;2;PL
arvessas	duvrir	V;COND;2;PL
arvessas	earver	V;COND;2;PL
arveva	]	V;IND;PST;1;SG;IPFV
arveva	duvrir	V;IND;PST;1;SG;IPFV
arveva	earver	V;IND;PST;1;SG;IPFV
arvevan	]	V;IND;PST;3;PL;IPFV
arvevan	duvrir	V;IND;PST;1;PL;IPFV
arvevan	earver	V;IND;PST;3;PL;IPFV
arvevas	]	V;IND;PST;2;SG;IPFV
arvevas	duvrir	V;IND;PST;2;SG;IPFV
arvevas	earver	V;IND;PST;2;SG;IPFV
arvez	]	V;IND;PRS;2;PL
arvez	duvrir	V;IND;PRS;2;PL
arvez	earver	V;IND;PRS;2;PL
arvànd	]	V.PTCP;PRS
arvànd	duvrir	V.PTCP;PRS
arvànd	earver	V.PTCP;PRS
as	cher	V.PTCP;PST;FEM;PL
as	ear	V;SBJV;PRS;2;SG
as	er	V;SBJV;PRS;2;SG
as	ir	V;SBJV;PRS;2;SG
as	r	V;SBJV;PRS;2;SG
asagn	ear	V;IND;PRS;1;PL
asagn	er	V;IND;PRS;1;PL
aschagn	er	V;IND;PRS;1;PL
aschagn	escher	V;IND;PRS;1;PL
asched	er	V;IMP;2;PL
asched	escher	V;IMP;2;PL
ascheian	er	V;SBJV;PRS;1;PL
ascheian	escher	V;SBJV;PRS;1;PL
ascheias	er	V;SBJV;PRS;2;PL
ascheias	escher	V;SBJV;PRS;2;PL
aschess	er	V;COND;3;SG
aschess	escher	V;COND;1;SG
aschessan	er	V;COND;1;PL
aschessan	escher	V;COND;1;PL
aschessas	er	V;COND;2;PL
aschessas	escher	V;COND;2;SG
ascheva	er	V;IND;PST;1;SG;IPFV
ascheva	escher	V;IND;PST;3;SG;IPFV
aschevan	er	V;IND;PST;3;PL;IPFV
aschevan	escher	V;IND;PST;1;PL;IPFV
aschevas	er	V;IND;PST;2;SG;IPFV
aschevas	escher	V;IND;PST;2;SG;IPFV
aschez	er	V;IND;PRS;2;PL
aschez	escher	V;IND;PRS;2;PL
aschida	er	V.PTCP;PST;FEM;SG
aschida	escher	V.PTCP;PST;FEM;SG
aschidas	er	V.PTCP;PST;FEM;PL
aschidas	escher	V.PTCP;PST;FEM;PL
aschieu	er	V.PTCP;PST;MASC;SG
aschieu	escher	V.PTCP;PST;MASC;SG
aschieus	er	V.PTCP;PST;MASC;PL
aschieus	escher	V.PTCP;PST;MASC;PL
aschànd	er	V.PTCP;PRS
aschànd	escher	V.PTCP;PRS
ased	ear	V;IMP;2;PL
ased	er	V;IMP;2;PL
aseian	ear	V;SBJV;PRS;1;PL
aseian	er	V;SBJV;PRS;1;PL
aseias	ear	V;SBJV;PRS;2;PL
aseias	er	V;SBJV;PRS;2;PL
aser	er	V;IND;FUT;1;SG
asess	ear	V;COND;1;SG
asess	er	V;COND;1;SG
asessan	ear	V;COND;1;PL
asessan	er	V;COND;3;PL
asessas	ear	V;COND;2;PL
asessas	er	V;COND;2;PL
aseva	ear	V;IND;PST;1;SG;IPFV
aseva	er	V;IND;PST;1;SG;IPFV
asevan	ear	V;IND;PST;3;PL;IPFV
asevan	er	V;IND;PST;1;PL;IPFV
asevas	ear	V;IND;PST;2;PL;IPFV
asevas	er	V;IND;PST;2;PL;IPFV
asez	ear	V;IND;PRS;2;PL
asez	er	V;IND;PRS;2;PL
asida	ear	V.PTCP;PST;FEM;SG
asidas	ear	V.PTCP;PST;FEM;PL
asieu	ear	V.PTCP;PST;MASC;SG
asieus	ear	V.PTCP;PST;MASC;PL
asol	usalar	V;IND;PRS;1;SG
asola	usalar	V;IMP;2;SG
asolan	usalar	V;IND;PRS;3;PL
asolas	usalar	V;SBJV;PRS;2;SG
asolel	usalar	V;IND;PRS;1;SG
asoli	usalar	V;SBJV;PRS;3;SG
asolian	usalar	V;SBJV;PRS;3;PL
asolias	usalar	V;SBJV;PRS;2;SG
ass	ear	V;COND;1;SG
ass	er	V;COND;3;SG
ass	ir	V;COND;1;SG
assan	ear	V;COND;1;PL
assan	er	V;COND;1;PL
assan	ir	V;COND;1;PL
assas	ear	V;COND;2;PL
assas	er	V;COND;2;PL
assas	ir	V;COND;2;PL
asànd	ear	V.PTCP;PRS
asànd	er	V.PTCP;PRS
atagn	eter	V;IND;PRS;1;PL
ated	eter	V;IMP;2;PL
ateian	eter	V;SBJV;PRS;1;PL
ateias	eter	V;SBJV;PRS;2;PL
atess	eter	V;COND;1;SG
atessan	eter	V;COND;1;PL
atessas	eter	V;COND;2;SG
ateva	eter	V;IND;PST;3;SG;IPFV
atevan	eter	V;IND;PST;3;PL;IPFV
atevas	eter	V;IND;PST;2;PL;IPFV
atez	eter	V;IND;PRS;2;PL
atg	er	V.PTCP;PST;MASC;SG
atga	er	V.PTCP;PST;FEM;SG
atgas	er	V.PTCP;PST;FEM;PL
atgian	tgear	V;SBJV;PRS;3;PL
atgs	er	V.PTCP;PST;MASC;PL
atànd	eter	V.PTCP;PRS
av	var	V;IND;PRS;1;SG
ava	ear	V;IND;PST;1;SG;IPFV
ava	er	V;IND;PST;3;SG;IPFV
ava	ir	V;IND;PST;3;SG;IPFV
ava	var	V;IND;PRS;3;SG
avagn	ever	V;IND;PRS;1;PL
avan	ear	V;IND;PST;3;PL;IPFV
avan	er	V;IND;PST;3;PL;IPFV
avan	ir	V;IND;PST;1;PL;IPFV
avan	var	V;IND;PRS;3;PL
avas	ear	V;IND;PST;2;PL;IPFV
avas	er	V;IND;PST;2;SG;IPFV
avas	ir	V;IND;PST;2;PL;IPFV
avas	var	V;SBJV;PRS;2;SG
aved	ever	V;IMP;2;PL
aveian	ever	V;SBJV;PRS;1;PL
aveias	ever	V;SBJV;PRS;2;PL
avel	var	V;IND;PRS;1;SG
aver	ver	V;IND;FUT;1;SG
avess	ever	V;COND;3;SG
avessan	ever	V;COND;1;PL
avessas	ever	V;COND;2;PL
aveva	ever	V;IND;PST;3;SG;IPFV
avevan	ever	V;IND;PST;1;PL;IPFV
avevas	ever	V;IND;PST;2;PL;IPFV
avez	ever	V;IND;PRS;2;PL
avi	var	V;SBJV;PRS;3;SG
avian	var	V;SBJV;PRS;3;PL
avias	var	V;SBJV;PRS;2;SG
avida	ever	V.PTCP;PST;FEM;SG
avidas	ever	V.PTCP;PST;FEM;PL
aviert	]	V.PTCP;PST;MASC;SG
aviert	duvrir	V.PTCP;PST;MASC;SG
aviert	earver	V.PTCP;PST;MASC;SG
avierta	]	V.PTCP;PST;FEM;SG
avierta	duvrir	V.PTCP;PST;FEM;SG
avierta	earver	V.PTCP;PST;FEM;SG
aviertas	]	V.PTCP;PST;FEM;PL
aviertas	duvrir	V.PTCP;PST;FEM;PL
aviertas	earver	V.PTCP;PST;FEM;PL
avierts	]	V.PTCP;PST;MASC;PL
avierts	duvrir	V.PTCP;PST;MASC;PL
avierts	earver	V.PTCP;PST;MASC;PL
avieu	ever	V.PTCP;PST;MASC;SG
avieus	ever	V.PTCP;PST;MASC;PL
avunad	uvanar	V;IMP;2;PL
avunada	uvanar	V.PTCP;PST;FEM;SG
avunadas	uvanar	V.PTCP;PST;FEM;PL
avunagn	uvanar	V;IND;PRS;1;PL
avunar	uvanar	V;IND;FUT;1;SG
avunass	uvanar	V;COND;1;SG
avunassan	uvanar	V;COND;3;PL
avunassas	uvanar	V;COND;2;PL
avunava	uvanar	V;IND;PST;1;SG;IPFV
avunavan	uvanar	V;IND;PST;1;PL;IPFV
avunavas	uvanar	V;IND;PST;2;SG;IPFV
avunaz	uvanar	V;IND;PRS;2;PL
avuneian	uvanar	V;SBJV;PRS;1;PL
avuneias	uvanar	V;SBJV;PRS;2;PL
avuno	uvanar	V.PTCP;PST;MASC;SG
avunos	uvanar	V.PTCP;PST;MASC;PL
avunànd	uvanar	V.PTCP;PRS
avur	uvrar	V;IND;PRS;1;SG
avura	uvrar	V;IMP;2;SG
avuran	uvrar	V;IND;PRS;3;PL
avuras	uvrar	V;SBJV;PRS;2;SG
avurel	uvrar	V;IND;PRS;1;SG
avuri	uvrar	V;SBJV;PRS;3;SG
avurian	uvrar	V;SBJV;PRS;3;PL
avurias	uvrar	V;SBJV;PRS;2;SG
avànd	ever	V.PTCP;PRS
avànd	ver	V.PTCP;PRS
avùn	uvanar	V;IND;PRS;1;SG
avùna	uvanar	V;IMP;2;SG
avùnan	uvanar	V;IND;PRS;3;PL
avùnas	uvanar	V;SBJV;PRS;2;SG
avùnel	uvanar	V;IND;PRS;1;SG
avùni	uvanar	V;SBJV;PRS;1;SG
avùnian	uvanar	V;SBJV;PRS;3;PL
avùnias	uvanar	V;SBJV;PRS;2;SG
az	ear	V;IND;PRS;2;PL
az	er	V;IND;PRS;2;PL
az	ir	V;IND;PRS;2;PL
biagead	vetier	V;IMP;2;PL
biageada	vetier	V.PTCP;PST;FEM;SG
biageadas	vetier	V.PTCP;PST;FEM;PL
biagear	vetier	V;IND;FUT;3;PL
biageava	vetier	V;IND;PST;1;SG;IPFV
biageavan	vetier	V;IND;PST;1;PL;IPFV
biageavas	vetier	V;IND;PST;2;SG;IPFV
biageaz	vetier	V;IND;PRS;2;PL
biageian	vetier	V;SBJV;PRS;1;PL
biageias	vetier	V;SBJV;PRS;2;PL
biagess	vetier	V;COND;1;SG
biagessan	vetier	V;COND;1;PL
biagessas	vetier	V;COND;2;SG
biagiagn	vetier	V;IND;PRS;1;PL
biagieu	vetier	V.PTCP;PST;MASC;SG
biagieus	vetier	V.PTCP;PST;MASC;PL
biagiànd	vetier	V.PTCP;PRS
biegel	vetier	V;IND;PRS;1;SG
biegi	vetier	V;SBJV;PRS;1;SG
biegia	vetier	V;IMP;2;SG
biegian	vetier	V;SBJV;PRS;3;PL
biegias	vetier	V;IND;PRS;2;SG
catad	adavur	V;IMP;2;PL
catada	adavur	V.PTCP;PST;FEM;SG
catadas	adavur	V.PTCP;PST;FEM;PL
catagn	adavur	V;IND;PRS;1;PL
catar	adavur	V;IND;FUT;2;PL
catass	adavur	V;COND;1;SG
catassan	adavur	V;COND;3;PL
catassas	adavur	V;COND;2;PL
catava	adavur	V;IND;PST;1;SG;IPFV
catavan	adavur	V;IND;PST;1;PL;IPFV
catavas	adavur	V;IND;PST;2;PL;IPFV
cataz	adavur	V;IND;PRS;2;PL
cateian	adavur	V;SBJV;PRS;1;PL
cateias	adavur	V;SBJV;PRS;2;PL
cato	adavur	V.PTCP;PST;MASC;SG
catos	adavur	V.PTCP;PST;MASC;PL
catànd	adavur	V.PTCP;PRS
cùnter	pusar	V;IND;FUT;3;PL
d	r	V;IMP;2;PL
d !	r	V;IMP;2;PL
da	r	V.PTCP;PST;FEM;SG
das	r	V.PTCP;PST;FEM;PL
dascargead	scargear	V;IMP;2;PL
dascargeada	scargear	V.PTCP;PST;FEM;SG
dascargeadas	scargear	V.PTCP;PST;FEM;PL
dascargear	scargear	V;IND;FUT;3;PL
dascargeava	scargear	V;IND;PST;1;SG;IPFV
dascargeavan	scargear	V;IND;PST;1;PL;IPFV
dascargeavas	scargear	V;IND;PST;2;SG;IPFV
dascargeaz	scargear	V;IND;PRS;2;PL
dascargeian	scargear	V;SBJV;PRS;1;PL
dascargeias	scargear	V;SBJV;PRS;2;PL
dascargess	scargear	V;COND;1;SG
dascargessan	scargear	V;COND;3;PL
dascargessas	scargear	V;COND;2;SG
dascargiagn	scargear	V;IND;PRS;1;PL
dascargieu	scargear	V.PTCP;PST;MASC;SG
dascargieus	scargear	V.PTCP;PST;MASC;PL
dascargiànd	scargear	V.PTCP;PRS
dastg	astgear	V;IND;PRS;1;SG
dastg	astger	V;IND;PRS;1;SG
dastg	stger	V;IND;PRS;1;SG
dastga	astgear	V;IND;PRS;3;SG
dastga	astger	V;IMP;2;SG
dastga	stger	V;IND;PRS;3;SG
dastgagn	astgear	V;IND;PRS;1;PL
dastgagn	astger	V;IND;PRS;1;PL
dastgan	astgear	V;SBJV;PRS;3;PL
dastgan	astger	V;IND;PRS;3;PL
dastgan	stger	V;SBJV;PRS;3;PL
dastgarg	scargear	V;IND;PRS;1;SG
dastgargel	scargear	V;IND;PRS;1;SG
dastgargi	scargear	V;SBJV;PRS;1;SG
dastgargia	scargear	V;IND;PRS;3;SG
dastgargian	scargear	V;IND;PRS;3;PL
dastgargias	scargear	V;SBJV;PRS;2;SG
dastgas	astgear	V;IND;PRS;2;SG
dastgas	astger	V;IND;PRS;2;SG
dastgas	stger	V;IND;PRS;2;SG
dastgear	astgear	V;IND;FUT;1;SG
dastgeava	astgear	V;IND;PST;1;SG;IPFV
dastgeavan	astgear	V;IND;PST;1;PL;IPFV
dastgeavas	astgear	V;IND;PST;2;PL;IPFV
dastgeaz	astgear	V;IND;PRS;2;PL
dastged	astger	V;IMP;2;PL
dastgeian	astgear	V;SBJV;PRS;1;PL
dastgeian	astger	V;SBJV;PRS;1;PL
dastgeias	astgear	V;SBJV;PRS;2;PL
dastgeias	astger	V;SBJV;PRS;2;PL
dastgel	astgear	V;IND;PRS;1;SG
dastgel	astger	V;IND;PRS;1;SG
dastgel	stger	V;IND;PRS;1;SG
dastger	astger	V;IND;FUT;2;PL
dastgess	astgear	V;COND;3;SG
dastgess	astger	V;COND;3;SG
dastgessan	astgear	V;COND;1;PL
dastgessan	astger	V;COND;3;PL
dastgessas	astgear	V;COND;2;PL
dastgessas	astger	V;COND;2;PL
dastgeva	astger	V;IND;PST;1;SG;IPFV
dastgevan	astger	V;IND;PST;3;PL;IPFV
dastgevas	astger	V;IND;PST;2;PL;IPFV
dastgez	astger	V;IND;PRS;2;PL
dastgi	astgear	V;SBJV;PRS;3;SG
dastgi	astger	V;SBJV;PRS;3;SG
dastgi	stger	V;SBJV;PRS;3;SG
dastgian	astgear	V;SBJV;PRS;3;PL
dastgian	astger	V;SBJV;PRS;3;PL
dastgian	stger	V;SBJV;PRS;3;PL
dastgias	astgear	V;SBJV;PRS;2;SG
dastgias	astger	V;SBJV;PRS;2;SG
dastgias	stger	V;SBJV;PRS;2;SG
dastgida	astger	V.PTCP;PST;FEM;SG
dastgidas	astger	V.PTCP;PST;FEM;PL
dastgieu	astgear	V.PTCP;PST;MASC;SG
dastgieu	astger	V.PTCP;PST;MASC;SG
dastgieu	stger	V.PTCP;PST;MASC;SG
dastgieus	astger	V.PTCP;PST;MASC;PL
dastgànd	astgear	V.PTCP;PRS
dastgànd	astger	V.PTCP;PRS
dastgànd	stger	V.PTCP;PRS
dischmatagn	schmeter	V;IND;PRS;1;PL
dischmated	schmeter	V;IMP;2;PL
dischmateian	schmeter	V;SBJV;PRS;1;PL
dischmateias	schmeter	V;SBJV;PRS;2;PL
dischmatess	schmeter	V;COND;1;SG
dischmatessan	schmeter	V;COND;3;PL
dischmatessas	schmeter	V;COND;2;PL
dischmateva	schmeter	V;IND;PST;1;SG;IPFV
dischmatevan	schmeter	V;IND;PST;3;PL;IPFV
dischmatevas	schmeter	V;IND;PST;2;SG;IPFV
dischmatez	schmeter	V;IND;PRS;2;PL
dischmatànd	schmeter	V.PTCP;PRS
dischmess	schmeter	V.PTCP;PST;MASC;SG
dischmessa	schmeter	V.PTCP;PST;FEM;SG
dischmessas	schmeter	V.PTCP;PST;FEM;PL
dischmet	schmeter	V;IND;PRS;1;SG
dischmeta	schmeter	V;IMP;2;SG
dischmetan	schmeter	V;IND;PRS;3;PL
dischmetas	schmeter	V;SBJV;PRS;2;SG
dischmetel	schmeter	V;IND;PRS;1;SG
dischmeter	schmeter	V;IND;FUT;3;SG
dischmeti	schmeter	V;SBJV;PRS;1;SG
dischmetian	schmeter	V;SBJV;PRS;3;PL
dischmetias	schmeter	V;SBJV;PRS;2;SG
disfid	sfidar	V;IND;PRS;1;SG
disfida	sfidar	V;IMP;2;SG
disfidad	sfidar	V;IMP;2;PL
disfidada	sfidar	V.PTCP;PST;FEM;SG
disfidadas	sfidar	V.PTCP;PST;FEM;PL
disfidagn	sfidar	V;IND;PRS;1;PL
disfidan	sfidar	V;IND;PRS;3;PL
disfidar	sfidar	V;IND;FUT;2;SG
disfidas	sfidar	V;IND;PRS;2;SG
disfidass	sfidar	V;COND;3;SG
disfidassan	sfidar	V;COND;3;PL
disfidassas	sfidar	V;COND;2;SG
disfidava	sfidar	V;IND;PST;1;SG;IPFV
disfidavan	sfidar	V;IND;PST;3;PL;IPFV
disfidavas	sfidar	V;IND;PST;2;PL;IPFV
disfidaz	sfidar	V;IND;PRS;2;PL
disfideian	sfidar	V;SBJV;PRS;1;PL
disfideias	sfidar	V;SBJV;PRS;2;PL
disfidel	sfidar	V;IND;PRS;1;SG
disfidi	sfidar	V;SBJV;PRS;1;SG
disfidian	sfidar	V;SBJV;PRS;3;PL
disfidias	sfidar	V;SBJV;PRS;2;SG
disfido	sfidar	V.PTCP;PST;MASC;SG
disfidos	sfidar	V.PTCP;PST;MASC;PL
disfidànd	sfidar	V.PTCP;PRS
disfigurad	sfigurar	V;IMP;2;PL
disfigurada	sfigurar	V.PTCP;PST;FEM;SG
disfiguradas	sfigurar	V.PTCP;PST;FEM;PL
disfiguragn	sfigurar	V;IND;PRS;1;PL
disfigurar	sfigurar	V;IND;FUT;2;PL
disfigurass	sfigurar	V;COND;1;SG
disfigurassan	sfigurar	V;COND;1;PL
disfigurassas	sfigurar	V;COND;2;SG
disfigurava	sfigurar	V;IND;PST;1;SG;IPFV
disfiguravan	sfigurar	V;IND;PST;1;PL;IPFV
disfiguravas	sfigurar	V;IND;PST;2;PL;IPFV
disfiguraz	sfigurar	V;IND;PRS;2;PL
disfigureian	sfigurar	V;SBJV;PRS;1;PL
disfigureias	sfigurar	V;SBJV;PRS;2;PL
disfiguresch	sfigurar	V;IND;PRS;1;SG
disfigurescha	sfigurar	V;IND;PRS;3;SG
disfigureschan	sfigurar	V;SBJV;PRS;3;PL
disfigureschas	sfigurar	V;IND;PRS;2;SG
disfigureschel	sfigurar	V;IND;PRS;1;SG
disfigureschi	sfigurar	V;SBJV;PRS;1;SG
disfigureschian	sfigurar	V;SBJV;PRS;3;PL
disfigureschias	sfigurar	V;SBJV;PRS;2;SG
disfiguro	sfigurar	V.PTCP;PST;MASC;SG
disfiguros	sfigurar	V.PTCP;PST;MASC;PL
disfigurànd	sfigurar	V.PTCP;PRS
durl	urlar	V;IND;PRS;1;SG
durla	urlar	V;IND;PRS;3;SG
durlad	urlar	V;IMP;2;PL
durlada	urlar	V.PTCP;PST;FEM;SG
durladas	urlar	V.PTCP;PST;FEM;PL
durlagn	urlar	V;IND;PRS;1;PL
durlan	urlar	V;SBJV;PRS;3;PL
durlar	urlar	V;IND;FUT;1;SG
durlas	urlar	V;SBJV;PRS;2;SG
durlass	urlar	V;COND;3;SG
durlassan	urlar	V;COND;3;PL
durlassas	urlar	V;COND;2;SG
durlava	urlar	V;IND;PST;1;SG;IPFV
durlavan	urlar	V;IND;PST;1;PL;IPFV
durlavas	urlar	V;IND;PST;2;SG;IPFV
durlaz	urlar	V;IND;PRS;2;PL
durleian	urlar	V;SBJV;PRS;1;PL
durleias	urlar	V;SBJV;PRS;2;PL
durlel	urlar	V;IND;PRS;1;SG
durli	urlar	V;SBJV;PRS;1;SG
durlian	urlar	V;SBJV;PRS;3;PL
durlias	urlar	V;SBJV;PRS;2;SG
durlo	urlar	V.PTCP;PST;MASC;SG
durlos	urlar	V.PTCP;PST;MASC;PL
durlànd	urlar	V.PTCP;PRS
e	ar	V;IMP;2;SG
e	ascher	V;IND;PRS;3;SG
e	aver	V;IND;PRS;1;SG
e	uer	V;IND;PRS;3;SG
ead	adar	V;IND;PRS;1;SG
ead	ar	V;IMP;2;PL
ead	ir	V;IMP;2;PL
eada	adar	V;IND;PRS;3;SG
eada	ir	V.PTCP;PST;FEM;SG
eadan	adar	V;IND;PRS;3;PL
eadas	adar	V;SBJV;PRS;2;SG
eadas	ir	V.PTCP;PST;FEM;PL
eadel	adar	V;IND;PRS;1;SG
eadi	adar	V;SBJV;PRS;3;SG
eadian	adar	V;SBJV;PRS;3;PL
eadias	adar	V;SBJV;PRS;2;SG
eal	alar	V;IND;PRS;1;SG
eala	alar	V;IND;PRS;3;SG
ealan	alar	V;SBJV;PRS;3;PL
ealas	alar	V;SBJV;PRS;2;SG
ealel	alar	V;IND;PRS;1;SG
eali	alar	V;SBJV;PRS;1;SG
ealian	alar	V;SBJV;PRS;3;PL
ealias	alar	V;SBJV;PRS;2;SG
ean	agnir	V;IND;PRS;3;SG
ean	iear	V;SBJV;PRS;3;PL
eans	agnir	V;IND;PRS;2;SG
eantretsch	antretschar	V;IND;PRS;1;SG
eantretscha	antretschar	V;IMP;2;SG
eantretschan	antretschar	V;IND;PRS;3;PL
eantretschas	antretschar	V;SBJV;PRS;2;SG
eantretschel	antretschar	V;IND;PRS;1;SG
eantretschi	antretschar	V;SBJV;PRS;3;SG
eantretschian	antretschar	V;SBJV;PRS;3;PL
eantretschias	antretschar	V;SBJV;PRS;2;SG
ear	arar	V;IND;PRS;1;SG
eara	arar	V;IND;PRS;3;SG
earan	arar	V;IND;PRS;3;PL
earas	arar	V;SBJV;PRS;2;SG
earcl	arclar	V;IND;PRS;1;SG
earcla	arclar	V;IMP;2;SG
earclan	arclar	V;IND;PRS;3;PL
earclas	arclar	V;SBJV;PRS;2;SG
earclel	arclar	V;IND;PRS;1;SG
earcli	arclar	V;SBJV;PRS;3;SG
earclian	arclar	V;SBJV;PRS;3;PL
earclias	arclar	V;SBJV;PRS;2;SG
eard	ardar	V;IND;PRS;1;SG
earda	ardar	V;IMP;2;SG
eardan	ardar	V;SBJV;PRS;3;PL
eardas	ardar	V;SBJV;PRS;2;SG
eardel	ardar	V;IND;PRS;1;SG
eardi	ardar	V;SBJV;PRS;3;SG
eardian	ardar	V;SBJV;PRS;3;PL
eardias	ardar	V;SBJV;PRS;2;SG
earel	arar	V;IND;PRS;1;SG
eari	arar	V;SBJV;PRS;3;SG
earian	arar	V;SBJV;PRS;3;PL
earias	arar	V;SBJV;PRS;2;SG
earl	arlar	V;IND;PRS;1;SG
earla	arlar	V;IMP;2;SG
earlan	arlar	V;IND;PRS;3;PL
earlas	arlar	V;SBJV;PRS;2;SG
earlel	arlar	V;IND;PRS;1;SG
earli	arlar	V;SBJV;PRS;1;SG
earlian	arlar	V;SBJV;PRS;3;PL
earlias	arlar	V;SBJV;PRS;2;SG
earm	armar	V;IND;PRS;1;SG
earma	armar	V;IND;PRS;3;SG
earman	armar	V;SBJV;PRS;3;PL
earmas	armar	V;SBJV;PRS;2;SG
earmel	armar	V;IND;PRS;1;SG
earmi	armar	V;SBJV;PRS;3;SG
earmian	armar	V;SBJV;PRS;3;PL
earmias	armar	V;SBJV;PRS;2;SG
earn	arnar	V;IND;PRS;1;SG
earna	arnar	V;IMP;2;SG
earnan	arnar	V;SBJV;PRS;3;PL
earnas	arnar	V;SBJV;PRS;2;SG
earnel	arnar	V;IND;PRS;1;SG
earni	arnar	V;SBJV;PRS;3;SG
earnian	arnar	V;SBJV;PRS;3;PL
earnias	arnar	V;SBJV;PRS;2;SG
eart	atar	V;IND;PRS;1;SG
earta	atar	V;IMP;2;SG
eartan	atar	V;IND;PRS;3;PL
eartas	atar	V;SBJV;PRS;2;SG
eartel	atar	V;IND;PRS;1;SG
eartg	artgear	V;IND;PRS;1;SG
eartga	artgear	V;IMP;2;SG
eartgan	artgear	V;IND;PRS;3;PL
eartgas	artgear	V;IND;PRS;2;SG
eartgel	artgear	V;IND;PRS;1;SG
eartgi	artgear	V;SBJV;PRS;1;SG
eartgian	artgear	V;SBJV;PRS;3;PL
eartgias	artgear	V;SBJV;PRS;2;SG
